标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【新媒体营销】简单app注册，1分钟完成，快速审核，高佣金,https://task.epwk.com/1008113/,1447人,34人,¥650,潮威33D87,650.0,￥117,2022-08-01,1、微信扫描附件二维码，根据提示到浏览器 ，下载安装 app。2、手机号注册登录，绑定常用微信。3、点右下角我的，然后点头像后进入个人信息截图，提交注册的手机号和账号ID和个人信息页面， 等我审核即可完成任务。注（不是任务内容）：新手福利完成后还能获得 2.5 元app平台奖励，新手福利里的任务很容易完成，其中几个任务就是赚钱任务，做完还能获得不错的APP任务佣金， 少则 10 多元，多则 100 多元，短时间就能做完。,任务编号：1008113,o627c6ee9485b3,开设堂z602r,MVP2VP24,o627c6ee9485b3,serndipity,rehcy,可可谷谷,o62eb38cdc5880,闲云孤游,o62eb6cc3634dc,B任务编号：1008113,新媒体营销
【短视频代运营】13元每单APP视频注册任务简单人人可做3-5分钟完成,https://task.epwk.com/949238/,1874人,11人,¥500,聚品创客1RZkn,500.0,￥92.12,2021-08-11,"第1步：打开手机浏览器扫描下方快手极速版二维码下载安装快手极速版（也可以自行去应用商店下载然后填写邀请码：360 008 898）第2步：打开【快手极速版】填写我的邀请码：360 008 898；被邀请成功后截图被谁邀请,要与我账号有关第3步：完成注册与邀请后，连续2天看完至少6个视频（浏览任意视频3-5分钟-切记）第4步：昵称界面带快手号截图方便审核一个手机只能填写一次，用应用分身无效。一个一品账号参加一次交稿格式：注册日期+一共3张截图（快手昵称和ID界面截图+被谁邀请成功的截图+首页看完6个视频的截图）",任务编号：949238,小dream,多才多亿,Seayou,点点画画,雨天丶丶,黑色的秋羽,你好顽石,,,,B任务编号：949238,短视频代运营
【企业宣传片】大学生寝室实景一角照片6张,https://task.epwk.com/691899/,9659人,6人,"¥1,000",h1391****187,1000.0,,2018-12-12,大学生寝室实景一角照片6张（每张人物不同、背景不同，人脸处于中心位置，人脸及表情清晰） 时间：周末寒冬，白天地点：大学生寝室，照片范围干净人物：在校大学生一个，气质容貌不错事件：坐在床上，背靠墙，似在追剧（目光平视，想象有一手机漂浮在眼前，专心观看。）注意：1.聚精会神、表情愉悦、物我两忘。本照片将视情况适当PS美化，参与投标表明投标者已授权可被免费用于关联商品宣传          2.欢迎一稿多张照片，按选中数量付费；          3.QQ：1931956863,任务编号：691899,,,,,,,,,,,B任务编号：691899,企业宣传片
【影视拍摄】拍摄10秒小视频，一稿33元,https://task.epwk.com/682885/,7788人,1人,¥500,erisky,500.0,,2018-11-17,按照要求拍摄10秒小视频。1：将封面.doc用A4纸打印出来，打印成彩色！  黑白不用！2：拿着打印出的A4纸，念出台词，让别人给你拍摄10秒小视频即可，没有人帮忙可以自拍。3：拍摄背景最好在厨房，饭店，小吃街，小吃城等跟餐饮有关的地方，优先选用！  也可以在家里拍摄，不能再办公室拍摄！  4：必须露脸，男女不限，25岁以上，念台词普通话或者方言均可（方言要求能听懂）。 5：所拍摄的小视频，不会上网公开，店内宣传用，不需要任何个人隐私。6：每个一品账号只可以投稿一次。,任务编号：682885,,,,,,,,,,,B任务编号：682885,影视拍摄
【短视频代运营】抖音推广，一稿3元,https://task.epwk.com/651847/,7536人,216人,"¥1,500",xinxin2018,1500.0,￥894,2018-08-22,任务条件：打开抖音APP，搜索厦门范儿或者抖音号：1233015562，关注抖音、评论最右边第一个抖音作品并点赞，做完三个步骤的抖音号为一稿。一个稿件3元，每个人最多只能接5稿。一个抖音号只能接一次任务。交稿条件：结束后提交三张完整的相关截图，截图包含(你自己的抖音号截图、评论截图、点赞的截图)完成时限：8月29日截止。,任务编号：651847,小红帽子,莫要迷恋哥,o56443457ee152,s15140670279,mf159****8041,北峰工艺,莫要迷恋哥,兼职传单设计,o5b640615a938f,兼职传单设计,B任务编号：651847,短视频代运营
【新媒体营销】新闻发布80元1个，要求百度新闻源收录,https://task.epwk.com/612524/,2165人,5人,¥800,zctg,800.0,￥80,2018-05-11,具体要求：说明1、新闻稿发布内容：见附件2、一个账号在同一网站(或版块)只能发1个稿 要求：百度新闻源收录 ，并且不能被删除,任务编号：612524,"工作室 |            
            炒年糕不加辣",,,,,,,,,,B任务编号：612524,新媒体营销
【新媒体营销】新闻媒体发稿,https://task.epwk.com/610219/,1417人,3人,¥600,o5aebfe28ce291,600.0,,2018-05-05,条件：百度新闻源收录，并且不能够被删除具体要求：说明1、新闻稿发布内容：见附件2、一个账号在同一网站（或版块）只能发一个稿件,任务编号：610219,,,,,,,,,,,B任务编号：610219,新媒体营销
【新媒体营销】百度新闻源收录1个30元,https://task.epwk.com/608439/,2637人,5人,¥600,haloxu518,600.0,￥90,2018-04-29,说明  1、新闻稿发布内容：见附件         2、大型门户的科技、IT、财经或商业资讯频道。         3、一个账号在同一网站(或版块)只能发1个稿要求：百度新闻源收录，并且不能被删除。交稿要求：提供被百度搜录的链接,任务编号：608439,"个人 |            
            madk1102","个人 |            
            madk1102","工作室 |            
            炒年糕不加辣",,,,,,,,B任务编号：608439,新媒体营销
【新媒体营销】百度新闻源收录1个50元,https://task.epwk.com/607357/,2616人,4人,"¥1,500",zctg,1500.0,￥50,2018-04-26,具体要求：说明1、新闻稿发布内容：见附件2、一个账号在同一网站(或版块)只能发1个稿 要求：百度新闻源收录 ，并且不能被删除,任务编号：607357,"工作室 |            
            炒年糕不加辣",,,,,,,,,,B任务编号：607357,新媒体营销
【新媒体营销】30元一个发布新闻,https://task.epwk.com/607387/,2485人,4人,¥900,zctg,900.0,,2018-04-26,http://yzwb.sjzdaily.com.cn/chanjing/a/xf/32124.html</p><p><br />http://www.zhongzq.com/html/47-16/16324.htm<br />新闻发布，已经发布的2个均已经被百度新闻源收录具体要求：说明1、新闻稿内容见附件2、一个账号在同一网站(或版块)只能发1个稿 要求：百度新闻源收录 ，并且不能被删除,任务编号：607387,,,,,,,,,,,B任务编号：607387,新媒体营销
【广告片/MV】浙清柔电研究院在各大门户网站的形象广告的文案及广告设计,https://task.epwk.com/563146/,2900人,0人,"¥4,800",磐石旗厦门,4800.0,,2017-12-13,浙清柔电研究院在各大门户网站的形象广告的文案及广告设计：1、符合我院的品位、档次，高大上；2、体现出我院的情怀、抱负、目标、价值观、企业文化（幸福研究院、最佳雇主、人才的迦南美地.....），足以吸引我们需要的高端人才，给我院投递简历；3、吸引很多实力大企业主动联系我们谈科研合作、产业合作等各种合作；4、具有创意，让看到的人可以留下比较深刻的印象；5、投放在哪些门户网站、微信公众号、传统媒体渠道（比如哪些报纸、杂志......），如果投稿的威客能够给出自己的专业性建议（数据资料说话，而不是仅凭自己的主观判断），其投稿被选用将优先。       如果有不清楚的地方，可以与我院负责品牌推广的同事沟通联系、询问。      可以关注我院的微信公众号“浙江清华柔性电子技术研究院”，或者我自己的公众号“清华王博士企业幸福教练”，然后后台提问。-----------------单位简介   浙江清华柔性电子技术研究院是一所新型非营利高端科研机构，坐落于浙江省嘉兴市南湖区科技城创新大厦B座15、16两层（在杭州市也即将建设一个柔性电子全球研发中心，已经有几位美国的顶级科技巨牛、跨领域创新创业的头牌人物/美国科学院、工程院、艺术科学院院士欣然加入我们的研究团队——先保密2个月，与牛人同行，距离牛人零距离）。   柔性院整合清华大学柔性电子技术领域的团队、科技项目，向浙江集聚，依托浙江清华长三角研究院、清华大学航天航空学院、材料学院、化学系、电子系、精仪系等院系的技术、人才力量全力支持。   柔性院将着重研究解决柔性电子技术的前沿科学问题和关键技术，交叉融合柔性电子的不同研究领域，在柔性显示、柔性传感、柔性固体器件与健康医疗仪器等方向的目标是：达到国际领先地位，实现在国际上学术界引领柔性电子技术发展。   柔性院在浙江省建设柔性电子技术研发和产业创新平台，按照“一院（浙清柔电院）一中心（清华大学柔性电子技术交叉学科研究中心），一园（柔性电子产业园）一基金（柔性电子产业成果引导基金及产业基金）”的整体建设思路和模式，着力推进柔性电子产业快速发展，把浙清柔电院建成世界一流水平，研发技术处于世界排头兵位置——“柔性技术、柔性产业，世界看中国，中国看浙江”；科研管理、人才引进体制机制创新试验田的“深圳特区”，有情怀的科技人才向往的迦南美地、幸福职场、最佳雇主、有志青年的“延安圣地”，创新创意达芬奇式人物成功创业起飞的“嘉兴南湖红船”。   我院的院文化第一条是：把论文真正写在祖国的大地上。,任务编号：563146,,,,,,,,,,,B任务编号：563146,广告片/MV
【图片处理】简单微信任务10元一稿，长期能做,https://task.epwk.com/410173/,50350人,240人,"¥3,000",自由的我2012,3000.0,￥990,2016-03-16,任务很简单，只要你有微信就可以参与打开任务附件用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：410173,mf183****1121,mf150****3280,mf157****1572,mf130****7806,古月哥欠,mf180****2081,a1715619476,Wayne_LIU,sky余,mf158****4606,B任务编号：410173,图片处理
【图片处理】拍照介绍美丽大学校园，一稿50元,https://task.epwk.com/408837/,7172人,1人,"¥1,000",yanliu,1000.0,,2016-03-10,为图片共享社区的一个话题提交内容，要求为大学校园的场景进行拍照并做一到几句话的简单介绍，各地知名大学校园。在校大学生和社会各界人士都可参加。拍照介绍大学校园，拿上手机或者相机，找个合适的角度按下快门。国内或者国外知名大学校园都可（欢迎介绍国外校园）参与提示：1、参与者请在app store里面搜索手机应用“全球比一比”。下载安装。2、在“最新创意榜”中找到《比一比最美的大学校园》这个话题。进入，先看一下您要介绍的大学是否已经有人发布过，如果有人发布过那就不需要再做了（但是应用可以保留，我们每隔两天会出新的话题可以选择）3、点右上角的菜单（三个小圆点），在菜单里面找到“发新帖”。（需要注册和登陆用手机号、微信或邮箱都可）4、按照提示输入你拍摄的照片和简单信息，然后发布。要按照提示问题的内容进行拍照。----需要发布成功，在app应用中可见，才算完成照片介绍提示对校园的以下场所进行拍照：校门（可以不同角度的几张）、教学楼和主要建筑物（可以不同角度拍摄）、图书馆（内部和外部）餐厅（可以不同角度，可以多拍几张）教室礼堂（如果有，可以不同角度）宿舍楼校内的标志或场所花园操场等交稿要求：对大学环境的介绍，可以图文并茂，要求照片清晰漂亮并且和场景对应，太模糊或者太混乱的不合格；介绍一两句话即可，也可写一些感受或见闻。照片最少20张，多则不限（不超过40张，我们会进行选择），一定是根据要求自己拍摄的真实照片，以前拍过的比较好的照片也可以提交，但是不要用从网上找到的图片，非原创的照片视为不合格。有兴趣的朋友和我联系另外，现在我们这边有许多话题需要拍照和参与，如果适合的话有机会长期合作有需要帮助的地方可加我qq：249571355。微信：15320022577.  在上传照片前请和我联系一下告知校园名称和学校情况（因为需要比较知名漂亮的校园）,任务编号：408837,,,,,,,,,,,B任务编号：408837,图片处理
【广告片/MV】上传原创AE模板获得奖励，详情看内容,https://task.epwk.com/302023/,4425人,0人,¥100,zuoshitu,100.0,,2014-08-22,现网站发展需要，特收集原创AE模板，看清楚了哦是原创模板，不要直接下载下来的你上传到网站上之后，这个模板卖出去的钱还是归你所有，这是奖励上传者的。所以大家积极上传吧，上传后卖的钱还是属于你的。百度搜索左视图网（zuoshitu#com #号换成点），第一个就是，注册你自己的用户名然后上传成功把模板的链接网址发在交稿处，就会得到5元，希望大家积极参与。  绝对真实有效。  或者联系QQ 2010 302003  传成功一个支付一个,任务编号：302023,,,,,,,,,,,B任务编号：302023,广告片/MV
【广告片/MV】上传原创AE模板获得奖励，详情看内容,https://task.epwk.com/297758/,3783人,0人,¥200,zuoshitu,200.0,,2014-07-30,现网站发展需要，特收集原创AE模板，看清楚了哦是原创模板，不要直接下载下来的你上传到网站上之后，这个模板卖出去的钱还是归你所有，这是奖励上传者的。所以大家积极上传吧，上传后卖的钱还是属于你的。百度搜索左视图网（zuoshitu#com #号换成点），第一个就是，注册你自己的用户名然后上传成功把模板的链接网址发在交稿处，就会得到5元，希望大家积极参与。  绝对真实有效。这是第一期，完成后会马上出第二期，请关注。,任务编号：297758,,,,,,,,,,,B任务编号：297758,广告片/MV
